Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Child Growth and Development Monitoring in the Digital Era: A Systematic Review of Mobile and Digital Health Applications in Indonesia","Indonesian digital child growth and development monitoring applications need improved interoperability, user-centered design, and equitable access to enhance their effectiveness in improving early childhood health outcomes.","Norlaila Sofia, Tien Zubaidah, Hapisah, N. Aprilea, Rusmilawaty",2026,3,"Monitoring child growth and development is essential for improving early childhood health outcomes and preventing stunting; however, monitoring systems in Indonesia remain fragmented and largely focused on anthropometric data. This study synthesizes evidence on digital applications developed between 2020 and 2025 to support child growth and developmental monitoring in Indonesia. Following PRISMA guidelines, 18 studies were identified from national and international databases and appraised using the JBI checklist. The review examined application characteristics, monitoring functions, design quality, user experience, and their contributions to parenting and developmental stimulation. Findings show that most applications prioritize physical growth tracking, while only a minority integrate assessments of cognitive, motor, and socio-emotional development. Thematic synthesis identifies three major gaps: limited incorporation of holistic developmental frameworks, suboptimal interface and interaction quality, and insufficient evidence-based educational content to support sustained caregiver engagement. Although most systems demonstrate high functional performance and methodological quality, interoperability with regional health information networks remains weak, and long-term user engagement is inconsistently documented. Contextual factors influencing these patterns include variability in digital literacy, infrastructural disparities across regions, and the technical challenges of digitizing developmental screening tools. The increasing use of Agile and RAD development approaches indicates potential to improve adaptability, usability, and iterative system refinement. This review underscores the need for integrated, family-centered digital platforms supported by national policy, capacity-building initiatives, and standardized developmental assessment protocols. The synthesized insights provide a foundation for guiding future system development, with interoperability, user-centered design, and equitable access as core principles for strengthening Indonesia’s digital child-health monitoring ecosystem.","systematic review","Jurnal Teknokes","","10.35882/jteknokes.v19i1.128","https://consensus.app/papers/child-growth-and-development-monitoring-in-the-digital-era-sofia-zubaidah/cf7b9e736c7055b4afaa43ca2826c6c3/"
"Analysis of Factors Influencing the Intention-to-Use Child-Monitoring Health Applications with Technology Acceptance Model 3 (TAM 3) (Study Case: Sukabumi Regency)","Enhancing user experience and perceived benefits significantly influences the intention to use child-monitoring health applications to combat stunting in Indonesian high-poverty areas.","A. Amrullah, Rahmat Fauzi, Widia Febriyani",2024,1,"In Indonesia, stunting which is caused by persistent malnutrition is a serious problem, particularly in areas with high rates of poverty. The Indonesian Central Statistics Agency reports that the growth retardation rate remains elevated, reaching 24.40 percent in 2021 (SSGI), especially in high-poverty rural and urban areas. The government wants to lower stunting rates by transforming the healthcare industry digitally in order to solve this problem. Nonetheless, there is still insufficient knowledge in the study field about the application of child-monitoring health applications. Using a survey method and a quantitative methodology, this study is theoretically underpinned by the Technology Acceptance Model 3 (TAM 3). The study population consists of parents, particularly pregnant mothers and mothers of toddlers, in Ciheulang Village, Cibadak District, Sukabumi, West Java, totaling 759 individuals, with a sample size of 262. The findings indicate that variables such as Experience, Image, and Perceived Usefulness significantly influence the plan to utilize the child-monitoring health application. For instance, Experience (H4) has a path coefficient of 0.422 and a t-statistic of 5.441. Conversely, Subjective Norm (H1) does not significantly impact Perceived Usefulness, also path coefficient of 0.049 and a t-statistic of 0.785. This research highlights the importance of enhancing user experience and perceived benefits to encourage application usage. The findings are expected to assist application developers in providing more effective services for stunting monitoring.","cross-sectional study","2024 International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA)","","10.1109/icicyta64807.2024.10913026","https://consensus.app/papers/analysis-of-factors-influencing-the-intentiontouse-amrullah-fauzi/958802e33a805c31b8d05db617b2b25e/"
"SiKurang: Development and Field Evaluation of an Offline-First mHealth System for Community-Based Stunting Risk Detection and Counselling in Low-Connectivity Primary Care Settings","SiKurang is a feasible and acceptable offline-first mHealth application for community-based stunting risk detection and counseling in low-connectivity primary care settings, offering a scalable template for strengthening maternal-child health.","M. R. Istambul, Parlindungan Parlindungan, Jhon Henry Wijaya, Reza Zezarina, Dery Fachrizsal",2026,0,"Background: Despite growing interest in mHealth solutions for community nutrition, no prior study has evaluated an integrated offline system combining on-device machine learning, NLP-based counseling, and geospatial visualization for non-specialist cadres within Indonesia's Posyandu network the gap this study addresses.
Objective: We aimed to evaluate the feasibility, accuracy, usability, and early effects of an offline-first Android application (SiKurang) for stunting risk assessment, counseling, and geospatial visualization.
Methods: We conducted a convergent mixed-methods, single-arm pre–post pilot at two Posyandu over 12 weeks, involving mothers/caregivers, community health cadres, and nutritionists. Outcomes included AUROC for on-device risk scoring, System Usability Scale (SUS), User Experience Questionnaire (UEQ-S), caregiver knowledge, administrative burden, and targeted home visits; interviews were thematically analyzed.
Results: On-device risk scoring achieved AUROC 0.87; usability was high (SUS 84.2; UEQ-S 1.86). Caregiver knowledge improved markedly (Cohen's d = 1.28). Risk maps supported a 22% increase in targeted home visits. The app operated reliably offline and synchronized upon connectivity, reducing administrative workload, with no major cultural or usability barriers reported.
Conclusion: The application was feasible and acceptable in primary care, enabling timely, data-informed counseling and referral in low-connectivity environments. This study provided field evidence for an offline-first, low-cost mHealth model delivering on-device analytics and geovisualization for non-specialist cadres, offering a scalable template for strengthening maternal–child health at the last mile. Scientifically, this study contributes the first field-validated, multi-component offline mHealth framework for community-level stunting surveillance in a low-resource LMIC setting.","other","Glosains: Jurnal Sains Global Indonesia","","10.59784/glosains.v7i2.670","https://consensus.app/papers/sikurang-development-and-field-evaluation-of-an-istambul-parlindungan/6de19b27c673544faa0f6bd2e564e5d6/"
"Development and Usability Evaluation of the ""Si BINTANG"" Audiovisual Web Application for Integrated Child Growth and Development Monitoring","The Si BINTANG web application, a hybrid digital-print integration, shows high system quality, usability, and user acceptance, potentially enhancing health education and promoting family-based stunting prevention in low-literacy or resource-limited settings.","Norlaila Sofia, Hapisah, N. Aprilea, Rusmilawaty, Yuniarti, Zakiah",2025,0,"Indonesia’s child growth monitoring system, essential for national stunting prevention, still relies on paper-based tools such as the Child Health Card (KMS), which often face challenges of low parental engagement, fragmented data management, and limited health literacy. Existing digital applications primarily function as data logbooks, lacking interactive audiovisual content that can effectively support parents with diverse literacy levels and learning needs. This gap highlights the urgency for innovative health communication strategies that bridge conventional and digital media to enhance participatory learning and improve community-based child monitoring practices. This study developed and evaluated Si BINTANG (Interactive Barcode-Based Growth and Development Information System). This hybrid audiovisual web platform connects a printed child monitoring book with digital content through QR code technology. The application was designed using a user-centered and health communication approach to enhance parental understanding, motivation, and engagement in monitoring their child's growth and development. A preliminary usability evaluation involving experts and mothers of children under five indicated high system quality, usability, and user acceptance, demonstrating positive responses across functionality, accessibility, and user satisfaction. These results suggest that hybrid digital–print integration can enhance health education by making it more interactive, inclusive, and accessible for families, particularly in low-literacy or resource-limited settings. While the findings show encouraging potential, this study acknowledges several limitations, including the small and localized sample size. Future research will focus on large-scale implementation and impact assessment on parental knowledge, behavioral change, and child health outcomes. The Si BINTANG platform represents a promising direction for strengthening family-based stunting prevention through hybrid digital innovation, contributing to Indonesia’s ongoing digital health transformation and community empowerment agenda.","other","Jurnal Teknokes","","10.35882/jteknokes.v18i4.127","https://consensus.app/papers/development-and-usability-evaluation-of-the-si-bintang-sofia-hapisah/6907ea68fda0518084962d4e0dba9087/"
"UI/UX Design of Stunting Survey Application Prototype User Centreed Design Method","The stunting survey application prototype, designed using User-Centered Design, is well-received and easy to navigate by testers, focusing on user needs and convenience.","E. Pawenrusi, Kamariana Kamariana, Andi Yulia Kasma, Eka Wahyuni, Andryanto Aman",2024,1,"The purpose of this research is to design UI/UX prototype of the stunting survey application according to user needs, namely (a) users can manage family data, (b), manage prospective bride data, (c) users can input questionnaire data, (d) search data, (e) see evaluation of questionnaire survey results, and (f) users can see the coordinate points of the survey results. The method used in the research is User Centered Design (UCD) which consists of 4 stages, namely Understand context of use, Specify user requirements, Design solutions, Evaluate against requirements. This research successfully designed the design and prototype of a stunting survey application that focuses on user needs and convenience. The prototype testing scenario was carried out with 2 experts who each have expertise in the field of UI/UX Designers and in the field of Public Health, the test results showed that the application interface was well received by the testers, and most tasks could be completed smoothly. This shows that the stunting survey application prototype has been made according to user needs, functional suitability, and easy to navigate by users. The results of this research are expected to be implemented in the actual environment so as to get feedback from users, in this case public health officers as surveyors.","other","Brilliance: Research of Artificial Intelligence","","10.47709/brilliance.v4i2.4629","https://consensus.app/papers/uiux-design-of-stunting-survey-application-prototype-user-pawenrusi-kamariana/6883995185055549ae73d77cf7f48e34/"
"Anaceting Mobile Health Application: An Innovative Digital Solution for Early Stunting Detection in Indonesian Children","The ANACETING Android app is an effective tool for early stunting detection in Indonesian toddlers, providing educational content and community support for preventing it.","Riski Novera Yenita, Viana Anggraini, Afdhal Islami, Khaidir Ansyari",2025,2,"Stunting is a complicated public health problem in Indonesia, with a countrywide rate of 21.5% in 2023. Puskesmas Rejosari in Pekanbaru City had the most stunting instances, with 50 out of 239. This shows that new ways are needed to find stunting cases early and teach people in the community about it. The goal of this study is to create the ANACETING (Stunting Prevention Information Application) Android app as a digital tool for finding stunting in toddlers early. The study is at the fourth stage of the Research and Development (R&D) approach and includes 30 mothers of toddlers as test subjects.A panel of media and material experts conducted validation using a structured questionnaire with 22 items on a Likert scale instrument. The app contains tools for measuring growth, interactive educational content, guidelines for supplementary feeding, immunization schedules, and a space for individuals in the community to chat about topics. The media expert gave it a score of 4.00 (in the ""Feasible"" category), while the content expert gave it a score of 4.00 with a content validity grade of 0.80. The user trials showed a satisfaction score of 4.20 and a System Usability Scale score of 82.5 (category ""Very Feasible""). The job completion rate was 96%, and the user retention rate was 87%. The ANACETING software has shown to be a good digital learning tool since it is easy to use, works on a lot of Android devices, and can be used offline. Women may learn more about stunting and support community-level initiatives to stop it by using the app. This research helps Indonesia's digital health technology expand by employing a strategy that may work in any part of the nation.","other","Jurnal Penelitian Pendidikan IPA","","10.29303/jppipa.v11i6.11923","https://consensus.app/papers/anaceting-mobile-health-application-an-innovative-yenita-anggraini/f5c5b0ffb0f85d3db5cbfc57229cb75a/"
"Perancangan UI/UX Aplikasi Stunting Your Buddy dengan Metode User-Centered Design","The user-centered design method successfully created the Stunting Your Buddy application, providing young women with stunting prevention education and meeting user expectations.","Anak Agung Gede Putra, Ni Luh Risma Putri Wirdianthi, Renald Kevin Azzaky",2025,1,"The aim of this study is to design a mobile application that can assist in handling stunting in Panjer Village, Bali. Stunting is a condition where a child cannot grow to their optimal height according to the height of a child of their age. In this digital era, education can be conducted through various platforms, such as applications that are now commonly used. Based on a field survey that has been conducted by researching the needs of users one and two, Your Buddy will be designed to help provide education for young women about stunting prevention. Furthermore, this application will serve as an intermediary for pediatric specialists to provide education regarding stunting. This research focuses on an application that will function for stunting prevention education, requiring improvements in terms of appearance (UI) and usability (UX) to make it more appealing and user-friendly. To achieve this goal, this study will utilize the User Centered Design (UCD) method. The UCD method consists of four stages: specify the context of use, specify user and organizational requirements, produce design solutions, and evaluate design against user requirements. After testing several potential users, a final SUS score of 87.5 was obtained, which falls into point B with an Excellent category. The design of the Your Buddy application is proven to have quality that meets user expectations, but in the future, it is recommended to add AI features and increase the number of respondents to expand this research.","other","Jurnal Indonesia : Manajemen Informatika dan Komunikasi","","10.35870/jimik.v6i1.1132","https://consensus.app/papers/perancangan-uiux-aplikasi-stunting-your-buddy-dengan-putra-wirdianthi/e760c2db5b00581b99d28fcfeecd32ff/"
"Perancangan UI/UX Aplikasi Mobile untuk Pencegah Stunting pada Anak di Indonesia Menggunakan Metode Design Thinking","The Design Thinking approach successfully developed a mobile application to aid parents in monitoring and educating about stunting in Indonesia, with a grade B user experience.","H. Lukmana, M. Alhusaini",2024,6,"Stunting, a chronic nutritional problem in Indonesia with a prevalence rate of 24.4% among under-fives, is caused by chronic malnutrition and recurrent infections that hinder child growth. Lack of awareness about nutrition and prevention exacerbates the issue. Digital solutions can play a key role in addressing this problem by enabling online health and nutrition monitoring. This research focuses on designing a UI/UX mobile application to aid parents in monitoring and educating about stunting. The Design Thinking approach, involving stages such as Empathize, Define, Ideate, Prototype, and Test, was used to develop the application. The resulting UI/UX design achieved good user experience, with an average System Usability Scale (SUS) score of 75.375, categorizing it as grade B. The application includes educational, early detection, and consultation features to support parents, health workers, and policymakers in combating stunting in Indonesia.","","METHOMIKA Jurnal Manajemen Informatika dan Komputerisasi Akuntansi","","10.46880/jmika.vol8no2.pp187-198","https://consensus.app/papers/perancangan-uiux-aplikasi-mobile-untuk-pencegah-stunting-lukmana-alhusaini/b8f224633c27548baee84ee2c01195b8/"
"Stunting Prevention Efforts Through Mentoring the Use of the SCATION (Stunting Care Application) for Mothers of Toddlers in the Medan City Community Health Center Work Area","Assistance in using the SCATION application significantly improves stunting prevention knowledge, attitudes, and behaviors among mothers under five.","I. K. Pangaribuan, Fery Agusman Motuho Mendrofa, Gunarmi Gunarmi",2025,2,"Background: Stunting is still one of the main health problems in Indonesia that has an impact on physical growth, cognitive development, and the quality of human resources in the future. The use of digital technology, especially mobile-based health applications, is one of the innovative strategies in supporting stunting prevention efforts. This study aimed to analyze the effect of assistance in the use of SCATION (Stunting Care Application) applications on improving the knowledge, attitudes, and behaviors of mothers under five in stunting prevention.Methods: The study used a quasi-experimental design with a one group pretest-posttest with control group design. The sample amounted to 128 mothers under five who were divided into an intervention group (64 people) and a control group (64 people) using the proportionate simple random sampling technique.Results: Data was collected through knowledge questionnaires, early interventions, digital literacy, and application usage logs, then analyzed using the Chi-Square bivariate test and the differential test (t-test/Wilcoxon). The results showed that assistance in the use of the SCATION application had a significant effect on increasing maternal knowledge about stunting (p < 0.05), changes in stunting prevention attitudes and behaviors, and the sustainability of application use after the intervention period. Mothers with good digital literacy, family support, and adequate internet access were more consistent in using apps and showed better preventive behaviors than the control group.Conclusion: SCATION application assistance has proven to be more effective and efficient than conventional methods in improving stunting prevention efforts in mothers under five. Digital technology-based interventions are worthy of being used as an innovative strategy in supporting the national program to accelerate stunting reduction.","","Open Access Health Scientific Journal","","10.55700/oahsj.v6i2.118","https://consensus.app/papers/stunting-prevention-efforts-through-mentoring-the-use-of-pangaribuan-mendrofa/a14585232a655b3f9dbbdbaa62d5b0cd/"
"Stunting Super App as an Effort Toward Stunting Management in Indonesia: Delphi and Pilot Study","The SEHATI app effectively increases the knowledge of mothers of toddlers with stunted growth on stunting prevention.","Kadek Ayu Erika, Nur Fadilah, A. Latif, Nurhikmawaty Hasbiah, Aidah Juliaty, H. Achmad, Anugrayani Bustamin",2024,18,"Background: Currently, 30 million children are experiencing acute malnutrition, and 8 million children are severely underweight.

Objective: This study aimed to develop a stunting super app, a one-stop app designed to prevent and manage stunting in Indonesia.

Methods: This study consisted of three stages. Stage 1 used a 3-round Delphi study involving 12 experts. In stage 2, 4 experts and a parent of children with stunted growth created an Android app containing stunting educational materials. In stage 3, a pilot study involving a control group was conducted to evaluate parents' knowledge about stunting prevention through the app and standard interventions.

Results: In the Delphi study, 11 consensus statements were extracted; arranged in three major themes, including maternal health education, child health education, and environmental education; and applied in the form of the Sistem Evaluasi Kesehatan Anak Tumbuh Ideal (SEHATI) app. This app was assessed using a content validity index, with a cumulative agreement of ≥80% among the 5 individuals. The pilot study showed an increase in the knowledge of mothers of toddlers with stunted growth before and after the educational intervention (P=.001).

Conclusions: The SEHATI app provides educational content on stunting prevention that can increase the knowledge of mothers of toddlers with stunted growth.

© Kadek Ayu Erika, Nur Fadilah, Aulia Insani Latif, Nurhikmawaty Hasbiah, Aidah Juliaty, Harun Achmad, Anugrayani Bustamin. Originally published in JMIR Human Factors (https://humanfactors.jmir.org).","other","JMIR Human Factors","1","10.2196/54862","https://consensus.app/papers/stunting-super-app-as-an-effort-toward-stunting-management-erika-fadilah/82235ffa166a51c283d07480bdcb3c19/"
